tconst,year,budget
tt0172156,2003,130000000
tt0172396,1999,23000000
tt0172493,1999,40000000
tt0172495,2000,103000000
tt0172726,1999,13000000
tt0173840,2001,137000000
tt0174336,2000,3000000
tt0174480,2000,65000000
tt0174856,1999,50000000
tt0175142,2000,19000000
tt0175880,1999,37000000
tt0176269,1999,45000000
tt0176783,2000,24000000
tt0177650,2000,16000000
tt0177789,1999,45000000
tt0177971,2000,140000000
tt0179098,2002,21000000
tt0179626,2001,60000000
tt0180052,2002,100000000
tt0180734,2001,32000000
tt0181151,2000,60000000
tt0181316,1999,65000000
tt0181689,2002,102000000
tt0181852,2003,200000000
tt0181875,2000,60000000
tt0181984,2000,7000000
tt0182000,2001,13500000
tt0182295,2000,13000000
tt0182789,1999,100000000
tt0183505,2000,51000000
tt0183523,2000,100000000
tt0183649,2002,13000000
tt0183790,2001,65000000
tt0184858,2000,42000000
tt0184894,2000,55000000
tt0184907,2000,13000000
tt0185014,2000,55000000
tt0185183,2000,73000000
tt0185371,1999,37000000
tt0185431,2000,85000000
tt0185937,1999,60000
tt0186045,2000,37000000
tt0186151,2000,31000000
tt0186253,1999,2500000
tt0186566,2000,65000000
tt0186589,2001,27000000
tt0186894,2000,35000000
tt0186975,2000,11000000
tt0187078,2000,90000000
tt0187393,2000,110000000
tt0187738,2002,54000000
tt0188160,2000,18000000
tt0188640,1999,13000000
tt0189192,2001,35000000
tt0189584,1999,7000000
tt0190138,2000,41300000
tt0190332,2000,17000000
tt0190374,2000,45000000
tt0190641,1998,30000000
tt0190865,2000,75000000
tt0191133,2003,30000000
tt0191397,2000,50000000
tt0191754,2000,43000000
tt0192071,2001,22000000
tt0192111,2001,14000000
tt0192255,2000,35000000
tt0192614,2000,35000000
tt0192731,2000,14000000
tt0193560,2001,38000000
tt0194218,2000,1000000
tt0195234,2000,10000000
tt0195685,2000,52000000
tt0195714,2000,23000000
tt0195778,2000,15000000
tt0195945,2000,11000000
tt0196216,2000,25000000
tt0196229,2001,28000000
tt0196857,1999,24000000
tt0198021,2000,15000000
tt0198386,2000,38000000
tt0198781,2001,115000000
tt0199290,2000,3400000
tt0199725,2000,20000000
tt0199753,2000,80000000
tt0200469,1999,5250000
tt0200550,2000,45000000
tt0202402,2000,32000000
tt0202470,2001,57000000
tt0202677,2000,8500000
tt0203009,2001,50000000
tt0203019,2000,32000000
tt0203408,1999,8000000
tt0203755,2001,18000000
tt0204175,2000,35000000
tt0204313,2004,80000000
tt0204626,2000,30000000
tt0204946,2000,11000000
tt0205000,1999,17000000
tt0205271,2000,23000000
tt0206314,2001,23000000
tt0206420,2000,8000000
tt0206634,2006,76000000
tt0206963,2001,5250000
tt0207201,2000,70000000
tt0208003,2000,30000000
tt0208874,2000,20000000
tt0208988,2000,63600000
tt0209144,2000,9000000
tt0209163,2001,98000000
tt0209475,2001,35000000
tt0209958,2000,33000000
tt0210234,1999,30000000
tt0210567,2000,14000000
tt0210616,2000,29000000
tt0210945,2000,30000000
tt0211181,2000,85000000
tt0211443,2001,11000000
tt0211915,2001,10000000
tt0211933,2007,8600000
tt0211938,2000,51000000
tt0212338,2000,55000000
tt0212346,2000,45000000
tt0212712,2004,12000000
tt0212720,2001,100000000
tt0212985,2001,87000000
tt0213149,2001,140000000
tt0213203,2000,30000000
tt0213790,2000,24000000
tt0215129,2000,16000000
tt0215750,2001,68000000
tt0216216,2000,82000000
tt0216772,2000,13000000
tt0217505,2002,100000000
tt0217630,2000,20000000
tt0217756,2000,24000000
tt0217869,2000,75000000
tt0218182,2000,14000000
tt0218619,2001,17000000
tt0218839,2000,10000000
tt0218922,2001,42000000
tt0218967,2000,60000000
tt0219653,2000,54000000
tt0219854,2000,65000000
tt0219952,2000,63000000
tt0219965,2001,75000000
tt0220099,2000,30000000
tt0220100,2000,5000000
tt0220506,2002,13000000
tt0221027,2001,53000000
tt0221074,2001,3000000
tt0221218,2001,30000000
tt0223897,2000,40000000
tt0225071,2001,53000000
tt0227445,2001,68000000
tt0227538,2001,35000000
tt0227984,2001,27000000
tt0228333,2001,28000000
tt0228750,2000,65000000
tt0228786,2000,14000000
tt0229260,2000,15000000
tt0230011,2001,120000000
tt0230030,2000,48000000
tt0230600,2001,17000000
tt0231775,2001,49000000
tt0232500,2001,38000000
tt0233142,2001,62000000
tt0233469,2002,85000000
tt0234215,2003,150000000
tt0234354,2001,8000000
tt0234829,2001,34000000
tt0235679,2000,16000000
tt0236348,2001,39000000
tt0236388,2000,13000000
tt0236493,2001,57000000
tt0236784,2001,21000000
tt0237534,2001,29000000
tt0237572,2001,35000000
tt0238112,2001,57000000
tt0238546,2002,35000000
tt0239395,2001,60000000
tt0239948,2001,22000000
tt0239949,2001,25000000
tt0240462,2001,70000000
tt0240468,2002,10000000
tt0240510,2002,35000000
tt0240515,2001,14000000
tt0240772,2001,85000000
tt0240900,2002,14000000
tt0241025,2004,23000000
tt0241303,2000,25000000
tt0241527,2001,125000000
tt0241760,2002,13000000
tt0242423,2000,13000000
tt0242445,2001,50000000
tt0242653,2003,150000000
tt0242998,2001,29000000
tt0243155,2001,25000000
tt0243415,2000,600000
tt0243585,2002,120000000
tt0243862,2000,1000000
tt0244244,2001,102000000
tt0244970,2001,23000000
tt0245120,2001,15000000
tt0245350,2001,8000000
tt0245407,2001,6000000
tt0245562,2002,115000000
tt0245674,2001,42000000
tt0245686,2001,17700000
tt0245803,2003,52000000
tt0245844,2002,35000000
tt0246002,2001,7000000
tt0246460,2002,142000000
tt0246464,2002,40000000
tt0246544,2001,40000000
tt0246578,2001,6000000
tt0246894,2002,70000000
tt0246989,2001,11000000
tt0247199,2001,1500000
tt0247425,2001,1700000
tt0247638,2001,26000000
tt0247745,2001,3000000
tt0248126,2001,7500000
tt0248667,2001,107000000
tt0249462,2000,5000000
tt0249478,2001,75000000
tt0250224,2001,13000000
tt0250274,2001,6000000
tt0250323,2001,3000000
tt0250494,2001,18000000
tt0250720,2001,35000000
tt0250797,2002,50000000
tt0251075,2001,80000000
tt0251114,2002,70000000
tt0251160,2002,36000000
tt0251736,2003,7000000
tt0252076,2002,55000000
tt0252223,2001,15000000
tt0252299,2001,15000000
tt0252501,2001,31000000
tt0252503,2001,39000000
tt0252866,2001,30000000
tt0253126,2001,10000000
tt0253474,2002,35000000
tt0253556,2002,60000000
tt0253754,2002,60000000
tt0253798,2001,24000000
tt0253867,2002,43000000
tt0255798,2001,47000000
tt0255819,2001,16000000
tt0256380,2001,40000000
tt0256415,2002,30000000
tt0256524,2001,33000000
tt0257044,2002,80000000
tt0257076,2003,80000000
tt0257106,2001,45000000
tt0257360,2002,30000000
tt0257516,2005,38000000
tt0257568,2003,60000000
tt0257756,2002,42000000
tt0258000,2002,48000000
tt0258038,2001,7000000
tt0258068,2002,30000000
tt0258463,2002,60000000
tt0258470,2001,13000000
tt0259288,2002,60000000
tt0259324,2007,110000000
tt0259446,2002,5000000
tt0259711,2001,68000000
tt0259974,2000,5000000
tt0260866,2001,50000000
tt0261289,2002,29000000
tt0261392,2001,22000000
tt0262396,2002,4000000
tt0262911,2001,2000000
tt0263265,2003,35000000
tt0263488,2001,10000000
tt0263728,2001,22000000
tt0263757,2003,20000000
tt0264464,2002,52000000
tt0264472,2002,45000000
tt0264616,2001,11000000
tt0264761,2001,1000000
tt0264796,2001,27000000
tt0264935,2002,50000000
tt0265029,2001,46000000
tt0265086,2001,92000000
tt0265087,2001,50000000
tt0265298,2002,15000000
tt0265349,2002,32000000
tt0265459,2002,12000000
tt0265632,2001,23000000
tt0265662,2002,22000000
tt0265666,2001,21000000
tt0266452,2002,50000000
tt0266465,2003,36000000
tt0266489,2003,40000000
tt0266543,2003,94000000
tt0266697,2003,30000000
tt0266747,2003,20000000
tt0266915,2001,90000000
tt0266987,2001,115000000
tt0267248,2002,25000000
tt0267626,2002,100000000
tt0267913,2002,84000000
tt0268126,2002,19000000
tt0268380,2002,59000000
tt0268397,2001,30000000
tt0268695,2002,80000000
tt0268978,2001,58000000
tt0268995,2001,72000000
tt0269095,2002,40000000
tt0269341,2001,13000000
tt0269347,2003,55000000
tt0270288,2002,30000000
tt0270980,2003,14000000
tt0271027,2001,25000000
tt0271367,2002,30000000
tt0272020,2001,72000000
tt0272152,2001,68000000
tt0272207,2002,6500000
tt0273435,2002,15500000
tt0273517,2002,10600000
tt0273799,2001,25000000
tt0274166,2003,40000000
tt0274558,2002,25000000
tt0275022,2002,12000000
tt0275491,2004,5000000
tt0275847,2002,80000000
tt0276033,2002,35000000
tt0276751,2002,30000000
tt0276919,2003,10000000
tt0277296,2002,60000000
tt0277371,2001,15000000
tt0277434,2002,75000000
tt0277895,2004,6000000
tt0278295,2002,15000000
tt0278435,2002,38000000
tt0278488,2001,20000000
tt0278504,2002,46000000
tt0278731,2002,10000000
tt0279111,2003,56000000
tt0279113,2002,8000000
tt0279286,2001,16000000
